date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
4/22/2018,Sunday,,103,256,140,283,,140,280,,,108,266,0,45,52
4/23/2018,Monday,,61,184,55,181,,60,175,,,39,145,0,25,59
4/24/2018,Tuesday,,53,163,73,249,,60,175,,,46,84,0,14,62
4/25/2018,Wednesday,,61,190,74,231,,60,180,,,60,136,0,14,65
4/26/2018,Thursday,,53,213,65,212,,60,200,,,44,235,0,6,63
4/27/2018,Friday,OSU Baseball 5:35pm/OSU Track and Field all day,68,351,99,386,,80,390,,,194,331,0,49,52
4/28/2018,Saturday,OSU Baseball 3:05pm/OSU Track and Field all day/Saturday Market,114,412,86,479,,100,450,,,91,463,2,124,53
4/29/2018,Sunday,OSU Baseball 1:05pm,103,256,77,297,,100,280,,,158,230,23,7,54
4/30/2018,Monday,,61,184,34,166,,50,170,,,51,175,0,11,52
5/1/2018,Tuesday,,53,163,52,167,,50,160,,,76,153,16,65,53
5/2/2018,Wednesday,,61,190,44,163,,50,160,,,66,140,29,15,56
5/3/2018,Thursday,,53,213,51,255,,50,220,,,43,204,0,47,60
5/4/2018,Friday,OSU MOMS weekend /(Last year OSU mom's),68,351,70,445,,70,450,,,70,475,0,170,59
5/5/2018,Saturday,OSU MOMS weekend/(Last year OSU mom's),114,412,155,536,,160,550,,,118,576,0,185,62
5/6/2018,Sunday,OSU MOMS weekend/(Last year OSU mom's),103,256,126,301,,130,300,,,92,366,0,98,64
5/7/2018,Monday,,55,177,38,117,,40,120,,,36,168,0,19,64
5/8/2018,Tuesday,,53,163,55,194,,50,160,,,65,179,2,17,61
5/9/2018,Wednesday,,61,190,60,224,,60,200,,,51,213,0,19,58
5/10/2018,Thursday,,53,213,71,215,,70,200,,,60,278,7,114,58
5/11/2018,Friday,OSU Baseball 7pm/Willamte VB/(Last year VB tournament ),68,351,101,444,,100,450,,,107,463,0,88,58
5/12/2018,Saturday,"OSU Baseball 2pm/Willamte VB/(LY VB, LY CHS PROM)",114,412,162,494,,160,500,,,178,555,56,329,65
5/13/2018,Sunday,"OSU Baseball 12pm/Willamte VB/Mothers Day (LY mothhers day,LY VB)",103,256,316,501,,300,500,,,291,449,87,143,70
5/14/2018,Monday,OSU Baseball 5:35pm,55,177,62,184,,40,150,,,42,266,0,56,69
5/15/2018,Tuesday,OSU Baseball 5:30pm,53,163,74,138,,50,150,,,45,206,5,24,62
5/16/2018,Wednesday,,61,190,53,181,,60,220,,,49,207,0,45,61
5/17/2018,Thursday,ly nice day,53,213,71,325,,70,200,,,60,222,12,12,62
5/18/2018,Friday,Swim Meet,68,351,98,412,,100,450,,,38,351,0,62,59
5/19/2018,Saturday,Swim Meet,114,412,85,378,,100,425,,,115,410,42,102,60
5/20/2018,Sunday,Swim Meet,103,256,120,294,,100,280,,,131,237,28,3,59
5/21/2018,Monday,,55,177,67,153,,40,150,,,57,133,0,17,61
5/22/2018,Tuesday,,53,163,35,192,,50,160,,,62,170,22,30,68
5/23/2018,Wednesday,,61,190,34,212,,50,200,,,50,210,0,63,65
5/24/2018,Thursday,OSU Baseball 4pm,53,213,85,243,,60,190,,,66,237,0,13,65
5/25/2018,Friday,OSU Baseball 4pm,68,351,54,311,,70,300,,,78,331,0,53,63
5/26/2018,Saturday,OSU Baseball 2pm(ly start of memorial day),114,412,59,262,,60,250,,,72,364,0,80,57
5/27/2018,Sunday,,103,256,108,247,,100,250,,,115,263,10,11,62
5/28/2018,Monday,Memorial Day (ly memoral day),55,177,192,208,,120,200,,,63,204,0,20,63
5/29/2018,Tuesday,,53,163,46,189,,50,160,,,57,178,15,9,60
5/30/2018,Wednesday,Corvallis Knights first game 10am(ly BQ),61,190,52,247,,50,170,,,48,156,7,28,55
5/31/2018,Thursday,,53,213,78,273,,60,190,,,66,198,23,22,58
6/1/2018,Friday,ly osu regionals,68,351,124,393,,70,350,,,75,354,4,53,59
6/2/2018,Saturday,ly osu regionals,114,412,133,463,,100,400,,,147,325,50,117,65
6/3/2018,Sunday,,103,256,69,253,,100,250,,,120,286,6,18,63
6/4/2018,Monday,,55,177,66,168,,50,150,,,40,199,0,50,62
6/5/2018,Tuesday,,53,163,57,192,,50,150,,,49,233,11,80,59
6/6/2018,Wednesday,,61,190,75,157,,60,160,,,37,223,0,37,62
6/7/2018,Thursday,,53,213,87,258,,60,180,,,42,229,12,45,63
6/8/2018,Friday,CHS and CV Graduation,68,351,135,347,,80,350,,,83,382,0,43,61
6/9/2018,Saturday,,114,412,117,439,,100,400,,,91,360,14,95,56
6/10/2018,Sunday,,103,256,97,267,,100,250,,,124,302,8,38,54
6/11/2018,Monday,last year cv chs grad,55,177,87,183,,50,170,,,32,177,,,62
6/12/2018,Tuesday,ly grad week,53,163,70,210,,60,180,,,69,211,0,35,64
6/13/2018,Wednesday,ly grad week,61,190,66,279,,60,240,,,85,202,34,54,59
6/14/2018,Thursday,ly grad week,53,213,88,336,,80,300,,,76,344,14,111,62
6/15/2018,Friday,ly grad week,68,351,182,487,,180,480,,,102,541,18,190,64
6/16/2018,Saturday,OSU Graduation/ly osu grad,114,412,131,343,,120,340,,,219,375,103,195,66
6/17/2018,Sunday,Fathers Day/ly fathers day,103,256,195,362,,200,350,,,176,350,36,121,72
6/18/2018,Monday,,55,177,48,210,,50,170,,,70,210,0,12,71
6/19/2018,Tuesday,,53,163,53,172,,50,170,,,42,218,10,18,73
6/20/2018,Wednesday,,61,190,68,209,,60,180,,,63,126,9,19,74
6/21/2018,Thursday,,53,213,74,280,,60,190,,,50,189,0,85,68
6/22/2018,Friday,,68,351,89,258,,70,250,,,74,252,0,35,69
6/23/2018,Saturday,first  Corvallis summer weekend = slow,114,412,69,281,,70,250,,,61,255,0,28,69
6/24/2018,Sunday,,103,256,44,253,,50,250,,,72,259,5,7,74
6/25/2018,Monday,,55,177,45,202,,50,170,,,63,146,0,14,66
6/26/2018,Tuesday,,53,163,63,230,,50,180,,,55,162,0,14,61
6/27/2018,Wednesday,,61,190,111,181,,60,180,,,43,151,,,64
6/28/2018,Thursday,,53,213,68,221,,60,200,,,69,211,0,15,65
6/29/2018,Friday,,68,351,85,247,,70,250,,,79,381,6,94,67
6/30/2018,Saturday,,114,412,78,330,,80,300,,,69,294,0,28,69
7/1/2018,Sunday,,103,256,88,300,,80,280,,,79,215,0,35,72
7/2/2018,Monday,,55,177,109,215,,60,180,,,56,258,0,63,63
7/3/2018,Tuesday,ly 4th of july,53,163,0,0,,50,160,,,67,173,0,44,62
7/4/2018,Wednesday,Independence day,61,190,39,229,,0,0,,,46,163,0,65,67
7/5/2018,Thursday,,53,213,72,166,,50,180,,,56,166,0,10,71
7/6/2018,Friday,,68,351,43,341,,50,330,,,70,245,0,45,68
7/7/2018,Saturday,ly special olympics,114,412,94,353,,90,340,,,47,269,0,37,67
7/8/2018,Sunday,ly special olympics,103,256,81,221,,90,220,,,80,227,0,29,70
7/9/2018,Monday,,55,177,66,200,,60,180,,,81,182,25,22,61
7/10/2018,Tuesday,,53,163,75,196,,60,190,,,59,183,0,13,68
7/11/2018,Wednesday,,61,190,69,222,,60,200,,,52,237,6,15,73
7/12/2018,Thursday,,53,213,43,251,,60,220,,,81,187,0,26,81
7/13/2018,Friday,,68,351,54,366,,60,350,,,92,316,8,94,78
7/14/2018,Saturday,,114,412,61,300,,60,280,,,51,305,0,48,77
7/15/2018,Sunday,,103,256,126,273,,100,250,,,76,226,2,6,79
7/16/2018,Monday,,55,177,45,204,,50,160,,,60,172,16,16,80
7/17/2018,Tuesday,,53,163,74,177,,50,160,,,57,200,2,40,76
7/18/2018,Wednesday,,61,190,56,231,,50,180,,,52,232,0,27,73
7/19/2018,Thursday,,53,213,85,212,,60,180,,,66,212,0,42,67
7/20/2018,Friday,,68,351,79,258,,70,250,,,59,297,3,36,66
